no,institution_name,sector,licence_type_status,office_number,address,website,mas_profile_url,source_list_url,source_page,verification_date,family_office_classification,telemarketing_priority,calling_status,contact_result,follow_up_date,assigned_to,notes
888,EC WORLD ASSET MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62219018,"6 SHENTON WAY, #41-03 OUE DOWNTOWN 1 068809",,https://eservices.mas.gov.sg/fid/institution/detail/200799-EC-WORLD-ASSET-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
889,ECICS LIMITED,Insurance,Direct Insurer (General),+65 6337 4779,"10, EUNOS ROAD 8 #09-04A SINGAPORE POST CENTRE 408600",,https://eservices.mas.gov.sg/fid/institution/detail/591-ECICS-LIMITED,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
890,ECP VITA PTE. LTD.,Insurance,Captive Insurer (General),+65 6922 8500,"8, MARINA VIEW #09-05 ASIA SQUARE TOWER 1 018960",https://www.umc.com/ecpvita/index.html,https://eservices.mas.gov.sg/fid/institution/detail/2584-ECP-VITA-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=27&count=100,27,2026-07-11,,,Not Called,,,,
891,EDDID FINANCIAL SINGAPORE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,,4 SHENTON WAY #18-04A SGX CENTRE II 068807,https://www.eddid.com.hk/en,https://eservices.mas.gov.sg/fid/institution/detail/419394-EDDID-FINANCIAL-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
892,EDGE CAPITAL ASSET MANAGEMENT PTE. LTD. (LODGED NOTICE OF CESSATION),Capital Markets,Capital Markets Services Licensee,,420 NORTH BRDIGE ROAD #04-04 NORTH BRIDGE CENTRE 188727,,https://eservices.mas.gov.sg/fid/institution/detail/230423-EDGE-CAPITAL-ASSET-MANAGEMENT-PTE-LTD-LODGED-NOTICE-OF-CESSATION,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
893,EEX ASIA PTE. LTD.,Capital Markets,Recognised Market Operator,+65 63408466,"8 CROSS STREET, #23-06 MANULIFE TOWER 048424",http://www.eexasia.com,https://eservices.mas.gov.sg/fid/institution/detail/201327-EEX-ASIA-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
894,EFFISSIMO CAPITAL MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 67352087,260 ORCHARD ROAD #12-06 THE HEEREN 238855,,https://eservices.mas.gov.sg/fid/institution/detail/1645-EFFISSIMO-CAPITAL-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
895,EFG BANK AG,Capital Markets; Financial Advisory; Banking,Exempt Capital Markets Services Entity; Exempt Financial Adviser; Wholesale Bank,+65 65954888,"79 ROBINSON ROAD, #18-01 068897",,https://eservices.mas.gov.sg/fid/institution/detail/3376-EFG-BANK-AG,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
896,EFG HERMES (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,,"9 RAFFLES PLACE #05-505, REPUBLIC PLAZA 048619",https://efghermes.com,https://eservices.mas.gov.sg/fid/institution/detail/254347-EFG-HERMES-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
897,EFG WEALTH SOLUTIONS (SINGAPORE) LIMITED,Capital Markets,Licensed Trust Company,+65 65954998,79 ROBINSON ROAD #18-03 068897,,https://eservices.mas.gov.sg/fid/institution/detail/1946-EFG-WEALTH-SOLUTIONS-SINGAPORE-LIMITED,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
898,EFINITY CAPITAL MANAGEMENT PTE. LTD.,Capital Markets; Financial Advisory,Capital Markets Services Licensee; Exempt Financial Adviser,+65 81166838,"20 ANSON ROAD, #06-01 079912",,https://eservices.mas.gov.sg/fid/institution/detail/235669-EFINITY-CAPITAL-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
899,EG SG PTE. LTD.,Capital Markets,Capital Markets Services Licensee,,2 CENTRAL BLVD WEST TOWER UNIT #29-01 IOI CENTRAL BOULEVARD TOWERS 018916,https://www.eglp.com,https://eservices.mas.gov.sg/fid/institution/detail/427551-EG-SG-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
900,EIGHTSTONE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68809285,8 CROSS STREET #25-06/07 MANULIFE TOWER 048424,http://www.eightstone.com,https://eservices.mas.gov.sg/fid/institution/detail/200387-EIGHTSTONE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
901,EL-MANDATE ADVISORY PTE. LTD.,Insurance; Financial Advisory,Exempt Insurance Broker; Licensed Financial Adviser,+65 66318999,7500A BEACH ROAD #15-301 THE PLAZA 199591,,https://eservices.mas.gov.sg/fid/institution/detail/200876-EL-MANDATE-ADVISORY-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
902,ELAN CAPITAL MANAGEMENT (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69641490,2 CENTRAL BLVD L32 018916,,https://eservices.mas.gov.sg/fid/institution/detail/407955-ELAN-CAPITAL-MANAGEMENT-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
903,Elara Capital (Asia) Pte. Ltd.,Capital Markets,Capital Markets Services Licensee,+65 69784047,ONE MARINA BOULEVARD LEVEL 20 018989,http://www.elaracapital.com,https://eservices.mas.gov.sg/fid/institution/detail/2640-Elara-Capital-Asia-Pte-Ltd,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
904,ELDRIDGE CAPITAL MANAGEMENT (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 88795554,50 COLLYER QUAY #04-02 OUE BAYFRONT 049321,https://www.eldridge.com/,https://eservices.mas.gov.sg/fid/institution/detail/431357-ELDRIDGE-CAPITAL-MANAGEMENT-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
905,ELEVATE ASSOCIATES MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 94564312,"6A SHENTON WAY 04-01/09, OUE DOWNTOWN 068815",http://NA,https://eservices.mas.gov.sg/fid/institution/detail/218793-ELEVATE-ASSOCIATES-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
906,ELITE EXCHANGE PRIVATE LIMITED,Payments,Money-changing Licensee,6909 7643,10 DUNLOP STREET 209340,,https://eservices.mas.gov.sg/fid/institution/detail/218467-ELITE-EXCHANGE-PRIVATE-LIMITED,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
907,ELITE PARTNERS CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69559999,3 CHURCH STREET #09-03 SAMSUNG HUB 049483,,https://eservices.mas.gov.sg/fid/institution/detail/201122-ELITE-PARTNERS-CAPITAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
908,ELITE UK REIT MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69559976,3 CHURCH STREET #09-03 SAMSUNG HUB 049483,,https://eservices.mas.gov.sg/fid/institution/detail/229849-ELITE-UK-REIT-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
909,EM CAPITAL MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 91172076,122 CAIRNHILL ROAD 229705,,https://eservices.mas.gov.sg/fid/institution/detail/413313-EM-CAPITAL-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
910,EMERALD MONEY CHANGER,Payments,Money-changing Licensee,65 64387897,1 PARK ROAD #01-K98 PEOPLE'S PARK COMPLEX 059108,,https://eservices.mas.gov.sg/fid/institution/detail/2934-EMERALD-MONEY-CHANGER,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
911,EMERALD TECHNOLOGY VENTURES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 97496900,"80 RAFFLES PLACE, UOB PLAZA 1 #59-02 UOB 048624",,https://eservices.mas.gov.sg/fid/institution/detail/244350-EMERALD-TECHNOLOGY-VENTURES-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
912,EMERGING MARKETS INVESTMENT ADVISERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 91171451,15 BEACH ROAD #02-01 189677,,https://eservices.mas.gov.sg/fid/institution/detail/200332-EMERGING-MARKETS-INVESTMENT-ADVISERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
913,EMIRATES NBD BANK (P.J.S.C),Capital Markets; Financial Advisory; Banking,Exempt Capital Markets Services Entity; Exempt Financial Adviser; Wholesale Bank,+65 64387868,10 COLLYER QUAY #25-01/05 OCEAN FINANCIAL CENTRE 049315,,https://eservices.mas.gov.sg/fid/institution/detail/3515-EMIRATES-NBD-BANK-P-J-S-C,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
914,EMK CAPITAL SINGAPORE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 96456977,"LEVEL 22, OCEAN FINANCIAL CENTRE, 10 COLLYER QUAY, RAFFLES PLACE 049315",,https://eservices.mas.gov.sg/fid/institution/detail/243325-EMK-CAPITAL-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
915,EMMANUEL CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 83382391,10 ANSON ROAD #29-05A INTERNATIONAL PLAZA 079903,,https://eservices.mas.gov.sg/fid/institution/detail/414608-EMMANUEL-CAPITAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
916,EMPLIFY CAPITAL PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 96852703,10 ARUMUGAM ROAD #04-00 LTC BUILDING A 409957,,https://eservices.mas.gov.sg/fid/institution/detail/407831-EMPLIFY-CAPITAL-PARTNERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
917,EMQ SINGAPORE PTE. LTD.,Payments,Major Payment Institution,65 68179590,3 TEMASEK AVENUE #17-10 CENTENNIAL TOWER 039190,,https://eservices.mas.gov.sg/fid/institution/detail/218708-EMQ-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
918,ENAM ASSET MANAGEMENT (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68297204,"50 RAFFLES PLACE ,19TH FLOOR, SINGAPORE LAND TOWERS #11-F STRAITS TRADING BUILDING 048623",,https://eservices.mas.gov.sg/fid/institution/detail/2387-ENAM-ASSET-MANAGEMENT-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
919,ENDEAVOUR UNITED SINGAPORE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,,"71 ROBINSON ROAD, #13-113 068895",http://www.endeavourunited.co.jp,https://eservices.mas.gov.sg/fid/institution/detail/253009-ENDEAVOUR-UNITED-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
920,ENDOWUS SINGAPORE PTE. LTD.,Capital Markets; Financial Advisory,Capital Markets Services Licensee; Exempt Financial Adviser,,158 CECIL STREET #08-01 069545,http://www.endowus.com,https://eservices.mas.gov.sg/fid/institution/detail/218490-ENDOWUS-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
921,ENDURANCE SPECIALTY INSURANCE LTD. SINGAPORE BRANCH,Insurance,Reinsurer (General),+65 6521 6860,"12, MARINA BOULEVARD #38-03 MARINA BAY FINANCIAL CENTRE TOWER 3 018982",https://www.sompo-intl.com/,https://eservices.mas.gov.sg/fid/institution/detail/3473-ENDURANCE-SPECIALTY-INSURANCE-LTD-SINGAPORE-BRANCH,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
922,ENG LOK MONEYCHANGER,Payments,Money-changing Licensee,65 91790770,11 COLLYER QUAY #01-05B THE ARCADE 049317,,https://eservices.mas.gov.sg/fid/institution/detail/2761-ENG-LOK-MONEYCHANGER,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
923,ENGINEERING INSURANCES PTE. LTD.,Insurance,Captive Insurer (General),+65 6591 8000,182 CECIL STREET FRASERS TOWERS #24-01 069547,https://www.wtwco.com/en-SG/Solutions/captives,https://eservices.mas.gov.sg/fid/institution/detail/1215-ENGINEERING-INSURANCES-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=27&count=100,27,2026-07-11,,,Not Called,,,,
924,ENOVA CAPITAL MANAGEMENT PTE. LTD.,Capital Markets; Financial Advisory,Capital Markets Services Licensee; Exempt Financial Adviser,+65 63043012,22-12/13 SHAW HOUSE 1 SCOTTS ROAD 228208,https://enovacapital.com.sg/,https://eservices.mas.gov.sg/fid/institution/detail/417882-ENOVA-CAPITAL-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=8&count=100,8,2026-07-11,,,Not Called,,,,
925,ENTROPY FUNDS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 66706632,65 CHULIA STREET OCBC CENTRE #46-01 049513,,https://eservices.mas.gov.sg/fid/institution/detail/431819-ENTROPY-FUNDS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
926,ENTRUST GLOBAL (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 64362982,8 EU TONG SEN STREET #15-90 059818,https://www.entrustglobal.com/,https://eservices.mas.gov.sg/fid/institution/detail/239052-ENTRUST-GLOBAL-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
927,ENYORRA PRIVATE EQUITY PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69043726,30 PRINSEP STREET #06-01 188647,https://enyorra.org/,https://eservices.mas.gov.sg/fid/institution/detail/225699-ENYORRA-PRIVATE-EQUITY-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
928,EQ INSURANCE COMPANY LTD.,Insurance,Direct Insurer (General),+65 6223 9433,"77, ROBINSON ROAD #12-01 ROBINSON 77 068896",http://www.eqinsurance.com.sg,https://eservices.mas.gov.sg/fid/institution/detail/272-EQ-INSURANCE-COMPANY-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
929,EQT PARTNERS ASIA PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62326300,"88 MARKET STREET, #48-02 048948",https://eqtgroup.com/,https://eservices.mas.gov.sg/fid/institution/detail/200201-EQT-PARTNERS-ASIA-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
930,EQUIOM TRUST SERVICES PTE. LTD.,Capital Markets,Licensed Trust Company,+65 65330774,50 RAFFLES PLACE #15-05/06 SINGAPORE LAND TOWER 048623,,https://eservices.mas.gov.sg/fid/institution/detail/2369-EQUIOM-TRUST-SERVICES-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
931,ERGO INSURANCE PTE. LTD.,Insurance,Direct Insurer (General),+65 6829 9199,"8, TEMASEK BOULEVARD #04-01 SUNTEC TOWER THREE 038988",,https://eservices.mas.gov.sg/fid/institution/detail/757-ERGO-INSURANCE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
932,ERICSENZ CAPITAL PTE. LTD.,Capital Markets; Financial Advisory,Capital Markets Services Licensee; Exempt Financial Adviser,+65 60198277,10 COLLYER QUAY LEVEL 37 OCEAN FINANCIAL CENTRE 049315,,https://eservices.mas.gov.sg/fid/institution/detail/201040-ERICSENZ-CAPITAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
933,ERNST & YOUNG CORPORATE FINANCE PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 65357777,"ONE RAFFLES QUAY NORTH TOWER, LEVEL 18 048583",http://www.ey.com,https://eservices.mas.gov.sg/fid/institution/detail/939-ERNST-YOUNG-CORPORATE-FINANCE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
934,EROMNET SINGAPORE PTE. LTD.,Payments,Major Payment Institution,,111 SOMERSET ROAD #03-09 111 SOMERSET 238164,https://www.eromnet.com/,https://eservices.mas.gov.sg/fid/institution/detail/434319-EROMNET-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
935,ESR FUND MANAGERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 64910060,5 TEMASEK BOULEVARD #05-01/02 SUNTEC TOWER FIVE 038985,http://logosproperty.com,https://eservices.mas.gov.sg/fid/institution/detail/218619-ESR-FUND-MANAGERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
936,ESR-REIT MANAGEMENT (S) LIMITED,Capital Markets,Capital Markets Services Licensee,+65 62223339,5 TEMASEK BOULEVARD #12-09 SUNTEC TOWER 5 038985,http://www.esr-reit.com.sg,https://eservices.mas.gov.sg/fid/institution/detail/1507-ESR-REIT-MANAGEMENT-S-LIMITED,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
937,ESSENTIA PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 97919130,7 STRAITS VIEW MARINA ONE EAST TOWER #05-01 018936,,https://eservices.mas.gov.sg/fid/institution/detail/242312-ESSENTIA-PARTNERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
938,ESTATE AND TRUST AGENCIES (1927) LTD.,Capital Markets,Licensed Trust Company,+65 68364481,51 EMERALD HILL ROAD 229327,http://www.estatetrust.com.sg,https://eservices.mas.gov.sg/fid/institution/detail/107-ESTATE-AND-TRUST-AGENCIES-1927-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
939,ETERNAL FINANCIAL ADVISORY PTE. LTD.,Financial Advisory,Licensed Financial Adviser,+65 62990188,7500A BEACH ROAD #08-320/321 THE PLAZA 199591,http://www.eternal-fa.com,https://eservices.mas.gov.sg/fid/institution/detail/1425-ETERNAL-FINANCIAL-ADVISORY-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
940,ETIQA INSURANCE PTE. LTD.,Insurance; Financial Advisory,Direct Insurer (Composite); Exempt Financial Adviser,+65 6336 0477,"23, CHURCH STREET #01-01 CAPITAL SQUARE 049481",,https://eservices.mas.gov.sg/fid/institution/detail/4358-ETIQA-INSURANCE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
941,ETORO SINGAPORE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69086851,111 SOMERSET ROAD #07-10 238164,http://www.etoro.com,https://eservices.mas.gov.sg/fid/institution/detail/246773-ETORO-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
942,EU CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62211929,7A CLUB STREET 069403,http://www.eucapital.com.sg/,https://eservices.mas.gov.sg/fid/institution/detail/200285-EU-CAPITAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
943,EULER HERMES SINGAPORE BRANCH,Insurance,Direct Insurer (General),+65 6589 3700,"79, ROBINSON ROAD #09-01 068897",,https://eservices.mas.gov.sg/fid/institution/detail/4343-EULER-HERMES-SINGAPORE-BRANCH,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
944,EUREKA CAPITAL PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62776486,81 CLUB STREET LEVEL 3 069449,,https://eservices.mas.gov.sg/fid/institution/detail/1709-EUREKA-CAPITAL-PARTNERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
945,EUREX CLEARING AG,Capital Markets,Recognised Clearing House,,+49 692110,http://www.eurexclearing.com,https://eservices.mas.gov.sg/fid/institution/detail/220231-EUREX-CLEARING-AG,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
946,EUREX DEUTSCHLAND,Capital Markets,Recognised Market Operator,,+49 692110,http://www.eurexchange.com,https://eservices.mas.gov.sg/fid/institution/detail/201337-EUREX-DEUTSCHLAND,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
947,EURO ASIA ASSET MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 92487726,"PAYA LEBAR LINK, #04-01 PAYA LEBAR QUARTER 408533",,https://eservices.mas.gov.sg/fid/institution/detail/244145-EURO-ASIA-ASSET-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
948,Euroclear Bank S.A./N.V.,Capital Markets,Recognised Clearing House,,,http://www.euroclear.com,https://eservices.mas.gov.sg/fid/institution/detail/412300-Euroclear-Bank-S-A-N-V,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
949,EUROCLEAR BANK SA/NV,Capital Markets; Banking,Exempt Capital Markets Services Entity; Wholesale Bank,+65 65007770,88 MARKET STREET #43-02/03 048948,,https://eservices.mas.gov.sg/fid/institution/detail/432211-EUROCLEAR-BANK-SA-NV,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
950,EURONEXT MARKETS SINGAPORE PTE. LTD.,Capital Markets,Recognised Market Operator,+65 69118834,38 BEACH ROAD #23-11 SOUTH BEACH TOWER 189767,http://www.euronextfx.com/Euronext-Singapore,https://eservices.mas.gov.sg/fid/institution/detail/233194-EURONEXT-MARKETS-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
951,EURONEXT PARIS S.A.,Capital Markets,Recognised Market Operator,,,http://www.euronext.com,https://eservices.mas.gov.sg/fid/institution/detail/201359-EURONEXT-PARIS-S-A,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
952,EUROPEAN COMMODITY CLEARING AG,Capital Markets,Recognised Clearing House,,,http://www.ecc.de,https://eservices.mas.gov.sg/fid/institution/detail/218604-EUROPEAN-COMMODITY-CLEARING-AG,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
953,European Energy Exchange AG,Capital Markets,Recognised Market Operator,,,https://www.eex.com/en/,https://eservices.mas.gov.sg/fid/institution/detail/441526-European-Energy-Exchange-AG,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
954,EVER VICTORY MONEY CHANGER,Payments,Money-changing Licensee,65 69092181,18 YISHUN AVENUE 9 #01-K2 JUNCTION NINE 768897,,https://eservices.mas.gov.sg/fid/institution/detail/2887-EVER-VICTORY-MONEY-CHANGER,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
955,EVERBRIDGE PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 64370604,150 BEACH ROAD LEVEL 35 THE GATEWAY WEST 189720,http://www.everbridgepartners.com; www.everbridgepartners.sg; www.everbridgepartners.com.sg /.hk /.cn,https://eservices.mas.gov.sg/fid/institution/detail/219965-EVERBRIDGE-PARTNERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
956,EVERBRIGHT MONEY CHANGER,Payments,Money-changing Licensee,65 63361475,35 SELEGIE ROAD #01-17 PARKLANE SHOPPING MALL 188307,,https://eservices.mas.gov.sg/fid/institution/detail/2852-EVERBRIGHT-MONEY-CHANGER,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
957,EVERCORE ASIA (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62907000,12 MARINA BOULEVARD #33-01 MARINA BAY FINANCIAL CENTRE TOWER 3 018982,http://www.evercore.com,https://eservices.mas.gov.sg/fid/institution/detail/4361-EVERCORE-ASIA-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
958,EVEREST GENERAL STORE,Payments,Money-changing Licensee,65 63769687,304 ORCHARD ROAD #01-33 LUCKY PLAZA 238863,,https://eservices.mas.gov.sg/fid/institution/detail/2738-EVEREST-GENERAL-STORE,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
959,"EVEREST INTERNATIONAL REINSURANCE LTD., SINGAPORE BRANCH",Insurance,Direct Insurer (General),+65 6602 6280,30 RAFFLES PLACE #10-01 048622,,https://eservices.mas.gov.sg/fid/institution/detail/254306-EVEREST-INTERNATIONAL-REINSURANCE-LTD-SINGAPORE-BRANCH,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
960,EVEREST PRESTIGE PTE. LTD.,Financial Advisory,Licensed Financial Adviser,+65 67151552,66 EAST COAST ROAD #01-02A THE FLOW MALL 428778,https://www.eppl.sg,https://eservices.mas.gov.sg/fid/institution/detail/4359-EVEREST-PRESTIGE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=9&count=100,9,2026-07-11,,,Not Called,,,,
