licence_record_no,institution_no,institution_name,sector,licence_type_status,office_number,address,website,mas_profile_url,source_page,verification_date
661,498,CAPITAL ASIA INVESTMENTS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68505010,160 ROBINSON ROAD #24-05 SBF CENTRE 068914,,https://eservices.mas.gov.sg/fid/institution/detail/218593-CAPITAL-ASIA-INVESTMENTS-PTE-LTD,5,2026-07-11
662,499,CAPITAL CITY TRADING,Payments,Money-changing Licensee,+65 98294950,101 UPPER CROSS STREET #01-26C PEOPLE'S PARK CENTRE 058357,,https://eservices.mas.gov.sg/fid/institution/detail/218816-CAPITAL-CITY-TRADING,5,2026-07-11
663,500,CAPITAL CODE MANAGEMENT PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 98272455,63 CHULIA STREET #15-01 OCBC CENTRE EAST 049514,,https://eservices.mas.gov.sg/fid/institution/detail/241740-CAPITAL-CODE-MANAGEMENT-PTE-LTD,5,2026-07-11
664,501,CAPITAL FOREX PTE. LTD.,Payments,Money-changing Licensee,,4 BUKIT BATOK STREET 41 #01-78 LE QUEST 657991,,https://eservices.mas.gov.sg/fid/institution/detail/220001-CAPITAL-FOREX-PTE-LTD,5,2026-07-11
665,502,CAPITAL GROUP INVESTMENT MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 65353777,ONE RAFFLES QUAY #43-00 NORTH TOWER 048583,http://www.capitalgroup.com/sg/en,https://eservices.mas.gov.sg/fid/institution/detail/249688-CAPITAL-GROUP-INVESTMENT-MANAGEMENT-PTE-LTD,5,2026-07-11
666,502,CAPITAL GROUP INVESTMENT MANAGEMENT PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 65353777,ONE RAFFLES QUAY #43-00 NORTH TOWER 048583,http://www.capitalgroup.com/sg/en,https://eservices.mas.gov.sg/fid/institution/detail/249688-CAPITAL-GROUP-INVESTMENT-MANAGEMENT-PTE-LTD,5,2026-07-11
667,503,CAPITAL SQUARE PARTNERS MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62024734,160 ROBINSON ROAD #10-01 SBF CENTER 068914,http://www.capitalsquarepartners.com,https://eservices.mas.gov.sg/fid/institution/detail/4489-CAPITAL-SQUARE-PARTNERS-MANAGEMENT-PTE-LTD,5,2026-07-11
668,504,CAPITALAND ASCENDAS REIT MANAGEMENT LIMITED,Capital Markets,Capital Markets Services Licensee,+65 67741033,168 ROBINSON ROAD #30-01 CAPITAL TOWER 068912,http://www.a-reit.com,https://eservices.mas.gov.sg/fid/institution/detail/1198-CAPITALAND-ASCENDAS-REIT-MANAGEMENT-LIMITED,5,2026-07-11
669,505,CAPITALAND ASCOTT TRUST MANAGEMENT LIMITED,Capital Markets,Capital Markets Services Licensee,+65 63899388,168 ROBINSON ROAD #30-01 CAPITAL TOWER 068912,,https://eservices.mas.gov.sg/fid/institution/detail/1532-CAPITALAND-ASCOTT-TRUST-MANAGEMENT-LIMITED,5,2026-07-11
670,506,CAPITALAND CHINA TRUST MANAGEMENT LIMITED,Capital Markets,Capital Markets Services Licensee,+65 65361188,168 ROBINSON ROAD #30-01 CAPITAL TOWER 068912,,https://eservices.mas.gov.sg/fid/institution/detail/1675-CAPITALAND-CHINA-TRUST-MANAGEMENT-LIMITED,5,2026-07-11
671,507,CAPITALAND FUND MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 67132888,168 ROBINSON ROAD #30-01 CAPITAL TOWER 068912,http://www.capitaland.com,https://eservices.mas.gov.sg/fid/institution/detail/1474-CAPITALAND-FUND-MANAGEMENT-PTE-LTD,5,2026-07-11
672,508,CAPITALAND INTEGRATED COMMERCIAL TRUST MANAGEMENT LIMITED,Capital Markets,Capital Markets Services Licensee,+65 67132888,168 ROBINSON ROAD #30-01 CAPITAL TOWER 068912,,https://eservices.mas.gov.sg/fid/institution/detail/1172-CAPITALAND-INTEGRATED-COMMERCIAL-TRUST-MANAGEMENT-LIMITED,5,2026-07-11
673,509,CAPITALE VENTURES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 66312888,"50 RAFFLES PLACE SINGAPORE LAND TOWER, #19-37 048623",https://www.capitale.co/vc,https://eservices.mas.gov.sg/fid/institution/detail/234057-CAPITALE-VENTURES-PTE-LTD,5,2026-07-11
674,510,CAPITALIS ASIA PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62212324,11 COLLYER QUAY LEVEL 17 SUITE 1726 THE ARCADE 049317,http://www.capitalisasia.com,https://eservices.mas.gov.sg/fid/institution/detail/2015-CAPITALIS-ASIA-PTE-LTD,5,2026-07-11
675,511,CAPRITAUR VENTURES PARTNERS PTE. LTD,Capital Markets,Capital Markets Services Licensee,+65 62662821,"INNOVATE 360 INNOVATION HUB, 9 CHIN BEE DRIVE #06-02 619860",http://www.capritaurventures.com,https://eservices.mas.gov.sg/fid/institution/detail/419350-CAPRITAUR-VENTURES-PARTNERS-PTE-LTD,5,2026-07-11
676,512,CAPSQUARE ASIA PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68289118,86 CLUB STREET 069454,http://www.capsquare-asia.com,https://eservices.mas.gov.sg/fid/institution/detail/246924-CAPSQUARE-ASIA-PARTNERS-PTE-LTD,5,2026-07-11
677,513,CAPSTONE INVESTMENT CORPORATE FINANCE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62024999,36 ROBINSON ROAD #07-01 CITY HOUSE 068877,,https://eservices.mas.gov.sg/fid/institution/detail/218519-CAPSTONE-INVESTMENT-CORPORATE-FINANCE-PTE-LTD,5,2026-07-11
678,514,CAPULA INVESTMENT MANAGEMENT SINGAPORE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 31386240,2 CENTRAL BOULEVARD IOI CENTRAL BOULEVARD WEST TOWER #44-03 018916,http://www.capulaglobal.com,https://eservices.mas.gov.sg/fid/institution/detail/235438-CAPULA-INVESTMENT-MANAGEMENT-SINGAPORE-PTE-LTD,5,2026-07-11
679,515,CARDUP PTE. LTD.,Payments,Major Payment Institution,65 31639289,"108 ROBINSON ROAD, #06-01, SINGAPORE 068900 068900",https://www.cardup.co,https://eservices.mas.gov.sg/fid/institution/detail/236578-CARDUP-PTE-LTD,5,2026-07-11
680,516,CARLTON PARTNERS ASSET MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 66706700,65 CHULIA STREET #46-01 OCBC CENTRE 049513,,https://eservices.mas.gov.sg/fid/institution/detail/218573-CARLTON-PARTNERS-ASSET-MANAGEMENT-PTE-LTD,5,2026-07-11
681,517,CARLYLE SINGAPORE INVESTMENT ADVISORS PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 62129600,1 TEMASEK AVENUE #24-02 MILLENIA TOWER 039192,http://www.carlyle.com,https://eservices.mas.gov.sg/fid/institution/detail/1110-CARLYLE-SINGAPORE-INVESTMENT-ADVISORS-PTE-LTD,5,2026-07-11
682,517,CARLYLE SINGAPORE INVESTMENT ADVISORS PTE LTD,Financial Advisory,Exempt Financial Adviser,+65 62129600,1 TEMASEK AVENUE #24-02 MILLENIA TOWER 039192,http://www.carlyle.com,https://eservices.mas.gov.sg/fid/institution/detail/1110-CARLYLE-SINGAPORE-INVESTMENT-ADVISORS-PTE-LTD,5,2026-07-11
683,518,CARRINGTON RHT INVESTMENTS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68565171,10 ANSON ROAD #34-09 INTERNATIONAL PLAZA 079903,https://carringtonrhtwealth.com/,https://eservices.mas.gov.sg/fid/institution/detail/218401-CARRINGTON-RHT-INVESTMENTS-PTE-LTD,5,2026-07-11
684,519,CASTLE PACIFIC INSURANCE PTE LTD,Insurance,Captive Insurer (General),+65 6922 8500,"8, MARINA VIEW #09-05 ASIA SQUARE TOWER 1 018960",https://castlepacificinsurance.com.sg/,https://eservices.mas.gov.sg/fid/institution/detail/533-CASTLE-PACIFIC-INSURANCE-PTE-LTD,27,2026-07-11
685,520,CASTLEHILL CAPITAL ADVISORS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62226168,10 ANSON ROAD #33-01 INTERNATIONAL PLAZA 079903,https://castlehilladvisors.com/,https://eservices.mas.gov.sg/fid/institution/detail/422855-CASTLEHILL-CAPITAL-ADVISORS-PTE-LTD,5,2026-07-11
686,521,CASTLES TECHNOLOGY SINGAPORE PTE. LTD.,Payments,Major Payment Institution,,1092 LOWER DELTA ROAD #06-03/04 169203,https://www.castlestech.com,https://eservices.mas.gov.sg/fid/institution/detail/254106-CASTLES-TECHNOLOGY-SINGAPORE-PTE-LTD,6,2026-07-11
687,522,CATALYST FUNDS MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69111356,6 TEMASEK BOULEVARD #41-01 SUNTEC TOWER FOUR 038986,https://www.catalystfm.com/,https://eservices.mas.gov.sg/fid/institution/detail/246779-CATALYST-FUNDS-MANAGEMENT-PTE-LTD,6,2026-07-11
688,523,CATALYTIC FUNDS MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 66313131,150 CECIL STREET #10-05 069543,http://www.catalytic-group.com,https://eservices.mas.gov.sg/fid/institution/detail/2254-CATALYTIC-FUNDS-MANAGEMENT-PTE-LTD,6,2026-07-11
689,523,CATALYTIC FUNDS MANAGEMENT PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 66313131,150 CECIL STREET #10-05 069543,http://www.catalytic-group.com,https://eservices.mas.gov.sg/fid/institution/detail/2254-CATALYTIC-FUNDS-MANAGEMENT-PTE-LTD,6,2026-07-11
690,524,CATHAY UNITED BANK,Banking,Wholesale Bank,+65 65939280,8 MARINA BOULEVARD #13-01/03 MARINA BAY FINANCIAL CENTRE 018981,,https://eservices.mas.gov.sg/fid/institution/detail/3483-CATHAY-UNITED-BANK,6,2026-07-11
691,524,CATHAY UNITED BANK,Capital Markets,Exempt Capital Markets Services Entity,+65 65939280,8 MARINA BOULEVARD #13-01/03 MARINA BAY FINANCIAL CENTRE 018981,,https://eservices.mas.gov.sg/fid/institution/detail/3483-CATHAY-UNITED-BANK,6,2026-07-11
692,524,CATHAY UNITED BANK,Financial Advisory,Exempt Financial Adviser,+65 65939280,8 MARINA BOULEVARD #13-01/03 MARINA BAY FINANCIAL CENTRE 018981,,https://eservices.mas.gov.sg/fid/institution/detail/3483-CATHAY-UNITED-BANK,6,2026-07-11
693,525,CATLIN SINGAPORE PTE. LTD.,Insurance,Lloyd's Asia Scheme,+65 6538 8718,"1, MARINA BOULEVARD #28-00 ONE MARINA BOULEVARD 018989",http://www.lloyds.com,https://eservices.mas.gov.sg/fid/institution/detail/1046-CATLIN-SINGAPORE-PTE-LTD,27,2026-07-11
694,526,CAXTON (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 65138509,8 MARINA VIEW #14-05 ASIA SQUARE TOWER 1 018960,http://www.caxton.com,https://eservices.mas.gov.sg/fid/institution/detail/201041-CAXTON-SINGAPORE-PTE-LTD,6,2026-07-11
695,527,CAYGAN CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62214940,600 NORTH BRIDGE ROAD #09-10 PARKVIEW SQUARE 188778,http://www.caygan.com,https://eservices.mas.gov.sg/fid/institution/detail/1418-CAYGAN-CAPITAL-PTE-LTD,6,2026-07-11
696,528,CBA CAPTIVE INSURANCE PTE. LTD.,Insurance,Captive Insurer (General),+65 6922 8500,"8, MARINA VIEW #09-05 ASIA SQUARE TOWER 1 018960",https://www.commbank.com.au/latest/captive-insurance.html,https://eservices.mas.gov.sg/fid/institution/detail/236974-CBA-CAPTIVE-INSURANCE-PTE-LTD,27,2026-07-11
697,529,CBC GROUP (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69711620,"88 MARKET STREET, #46-04/05 CAPITASPRING 048948",http://www.cbridgecap.com/,https://eservices.mas.gov.sg/fid/institution/detail/246833-CBC-GROUP-SINGAPORE-PTE-LTD,6,2026-07-11
698,530,CBIPAY PRIVATE LIMITED,Payments,Major Payment Institution,+65 62469466,1 IRVING PLACE THE COMMERZE @ IRVING #05-13 369546,http://www.paycbi.com,https://eservices.mas.gov.sg/fid/institution/detail/248408-CBIPAY-PRIVATE-LIMITED,27,2026-07-11
699,531,"CBOE EXCHANGE, INC.",Capital Markets,Recognised Market Operator,+1 3127865600,433 WEST VAN BUREN STREET CHICAGO IL 60607 USA 0,http://www.cboe.com,https://eservices.mas.gov.sg/fid/institution/detail/427931-CBOE-EXCHANGE-INC,6,2026-07-11
700,532,"CBOE FUTURES EXCHANGE, LLC",Capital Markets,Recognised Market Operator,+1 3127865600,"433 WEST VAN BUREN STREET, CHICAGO, ILLINOIS 60607 USA -",http://www.cboe.com,https://eservices.mas.gov.sg/fid/institution/detail/201375-CBOE-FUTURES-EXCHANGE-LLC,6,2026-07-11
701,533,CBRE INVESTMENT MANAGEMENT (ASIA PACIFIC) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 65933480,8 MARINA BOULEVARD #16-02 MARINA BAY FINANCIAL CENTRE 018981,,https://eservices.mas.gov.sg/fid/institution/detail/2131-CBRE-INVESTMENT-MANAGEMENT-ASIA-PACIFIC-PTE-LTD,6,2026-07-11
702,533,CBRE INVESTMENT MANAGEMENT (ASIA PACIFIC) PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 65933480,8 MARINA BOULEVARD #16-02 MARINA BAY FINANCIAL CENTRE 018981,,https://eservices.mas.gov.sg/fid/institution/detail/2131-CBRE-INVESTMENT-MANAGEMENT-ASIA-PACIFIC-PTE-LTD,6,2026-07-11
703,534,CCB INTERNATIONAL (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68071800,9 RAFFLES PLACE #24-02 REPUBLIC PLAZA 048619,,https://eservices.mas.gov.sg/fid/institution/detail/200907-CCB-INTERNATIONAL-SINGAPORE-PTE-LTD,6,2026-07-11
704,534,CCB INTERNATIONAL (SINGAPORE) PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 68071800,9 RAFFLES PLACE #24-02 REPUBLIC PLAZA 048619,,https://eservices.mas.gov.sg/fid/institution/detail/200907-CCB-INTERNATIONAL-SINGAPORE-PTE-LTD,6,2026-07-11
705,535,CCBJI INSURANCE (SINGAPORE) PTE. LTD.,Insurance,Captive Insurer (General),+65 6221 8222,"2, SHENTON WAY #26-01 SGX CENTRE I 068804",https://asia-business-insurance.aon.com/sg/products/captive,https://eservices.mas.gov.sg/fid/institution/detail/407104-CCBJI-INSURANCE-SINGAPORE-PTE-LTD,27,2026-07-11
706,536,CCP GLOBAL PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 91888166,39 DUXTON HILL 03-01 089617,,https://eservices.mas.gov.sg/fid/institution/detail/232504-CCP-GLOBAL-PARTNERS-PTE-LTD,6,2026-07-11
707,537,CDG INTERNATIONAL MANAGEMENT (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+852 55282982,"80 RAFFLES PLACE, UOB PLAZA 1 #43-01 048624",,https://eservices.mas.gov.sg/fid/institution/detail/244304-CDG-INTERNATIONAL-MANAGEMENT-SINGAPORE-PTE-LTD,6,2026-07-11
708,538,CDH INVESTMENT ADVISORY PRIVATE LIMITED,Capital Markets,Capital Markets Services Licensee,+65 65728750,ONE GEORGE STREET #07-04 049145,http://www.cdhfund.com,https://eservices.mas.gov.sg/fid/institution/detail/1447-CDH-INVESTMENT-ADVISORY-PRIVATE-LIMITED,6,2026-07-11
709,539,CDL REAL ESTATE ASSET MANAGERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 64380880,9 RAFFLES PLACE #12-01 REPUBLIC PLAZA 048619,,https://eservices.mas.gov.sg/fid/institution/detail/224875-CDL-REAL-ESTATE-ASSET-MANAGERS-PTE-LTD,6,2026-07-11
710,540,CEDARVALE ASSET MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 86578976,12 MARINA BOULEVARD #17-01 MARINA BAY FINANCIAL CENTRE TOWER 3 018982,,https://eservices.mas.gov.sg/fid/institution/detail/251653-CEDARVALE-ASSET-MANAGEMENT-PTE-LTD,6,2026-07-11
711,541,CEMENTHAI CAPTIVE INSURANCE PTE. LTD.,Insurance,Captive Insurer (General),+65 6922 8500,"8, MARINA VIEW #09-05 ASIA SQUARE TOWER 1 018960",https://www.marsh.com/sg/services/captive-insurance.html,https://eservices.mas.gov.sg/fid/institution/detail/1470-CEMENTHAI-CAPTIVE-INSURANCE-PTE-LTD,27,2026-07-11
712,542,CENTAURI TECHNOLOGY PTE. LTD.,Payments,Major Payment Institution,,"10, ANSON ROAD #21-07 INTERNATIONAL PLAZA 079903",https://www.midaspayment.com/,https://eservices.mas.gov.sg/fid/institution/detail/407108-CENTAURI-TECHNOLOGY-PTE-LTD,6,2026-07-11
713,543,CENTERBOOK ASIA PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 82927339,"05-176, 109 NORTH BRIDGE ROAD 179097",http://www.centerbook.com,https://eservices.mas.gov.sg/fid/institution/detail/244626-CENTERBOOK-ASIA-PTE-LTD,6,2026-07-11
714,544,CENTERSQUARE INVESTMENT MANAGEMENT ASIA PACIFIC PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69116755,7 STRAITS VIEW #05-01 MARINA ONE EAST TOWER 018936,http://www.centersquare.com,https://eservices.mas.gov.sg/fid/institution/detail/407253-CENTERSQUARE-INVESTMENT-MANAGEMENT-ASIA-PACIFIC-PTE-LTD,6,2026-07-11
715,545,CENTIVA CAPITAL ASIA PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+1 7754133717,"OCEAN FINANCIAL CENTRE, 10 COLLYER QUAY, L37 049315",http://www.centivacapital.com,https://eservices.mas.gov.sg/fid/institution/detail/246781-CENTIVA-CAPITAL-ASIA-PTE-LTD,6,2026-07-11
716,546,CENTO VENTURES PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 62216017,168 ROBINSON ROAD #20-30 CAPITAL TOWER 068912,,https://eservices.mas.gov.sg/fid/institution/detail/4355-CENTO-VENTURES-PTE-LTD,6,2026-07-11
717,547,CENTRAL EXCHANGE,Payments,Money-changing Licensee,65 63393339,3 TEMASEK BOULEVARD #01-416 SUNTEC CITY MALL 038983,,https://eservices.mas.gov.sg/fid/institution/detail/2693-CENTRAL-EXCHANGE,6,2026-07-11
718,548,CENTRUM INTERNATIONAL SERVICES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68186049,32 PEKIN STREET #04-01 FAR EAST SQUARE 048762,http://www.centrum.co.in,https://eservices.mas.gov.sg/fid/institution/detail/221015-CENTRUM-INTERNATIONAL-SERVICES-PTE-LTD,6,2026-07-11
719,548,CENTRUM INTERNATIONAL SERVICES PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 68186049,32 PEKIN STREET #04-01 FAR EAST SQUARE 048762,http://www.centrum.co.in,https://eservices.mas.gov.sg/fid/institution/detail/221015-CENTRUM-INTERNATIONAL-SERVICES-PTE-LTD,6,2026-07-11
720,549,CENTURION ASSET MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 67453288,45 UBI ROAD 1 #04-01 408696,,https://eservices.mas.gov.sg/fid/institution/detail/433820-CENTURION-ASSET-MANAGEMENT-PTE-LTD,6,2026-07-11
721,550,CENTURY PRIVATE WEALTH MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 86032616,101 CECIL STREET #16-05 TONG ENG BUILDING 069533,,https://eservices.mas.gov.sg/fid/institution/detail/231967-CENTURY-PRIVATE-WEALTH-MANAGEMENT-PTE-LTD,6,2026-07-11
722,551,CERBERUS (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 31581820,20 COLLYER QUAY #17-05 049319,http://www.schulzeglobal.com,https://eservices.mas.gov.sg/fid/institution/detail/200456-CERBERUS-SINGAPORE-PTE-LTD,6,2026-07-11
723,552,CERCANO MANAGEMENT ASIA PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 91000483,328 NORTH BRIDGE ROAD #02-20 RAFFLES SHOPPING ARCADE 188719,,https://eservices.mas.gov.sg/fid/institution/detail/252971-CERCANO-MANAGEMENT-ASIA-PTE-LTD,6,2026-07-11
724,553,CEREBRIUM CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69506122,#29-00 SAMSUNG HUB 3 CHURCH ST 049483,,https://eservices.mas.gov.sg/fid/institution/detail/247215-CEREBRIUM-CAPITAL-PTE-LTD,6,2026-07-11
725,553,CEREBRIUM CAPITAL PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 69506122,#29-00 SAMSUNG HUB 3 CHURCH ST 049483,,https://eservices.mas.gov.sg/fid/institution/detail/247215-CEREBRIUM-CAPITAL-PTE-LTD,6,2026-07-11
726,554,CGS INTERNATIONAL SECURITIES SINGAPORE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62251228,"10 MARINA BOULEVARD MARINA BAY FINANCIAL CENTRE TOWER 2, #09-01 018983",https://cgsi.com.sg/Home?lang=EN,https://eservices.mas.gov.sg/fid/institution/detail/506-CGS-INTERNATIONAL-SECURITIES-SINGAPORE-PTE-LTD,6,2026-07-11
727,554,CGS INTERNATIONAL SECURITIES SINGAPORE PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 62251228,"10 MARINA BOULEVARD MARINA BAY FINANCIAL CENTRE TOWER 2, #09-01 018983",https://cgsi.com.sg/Home?lang=EN,https://eservices.mas.gov.sg/fid/institution/detail/506-CGS-INTERNATIONAL-SECURITIES-SINGAPORE-PTE-LTD,6,2026-07-11
728,555,CHANCERY HILL VENTURES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 66534358,8 MARINA BOULEVARD #11- MARINA BAY FINANCIAL CENTRE T1 018981,,https://eservices.mas.gov.sg/fid/institution/detail/222231-CHANCERY-HILL-VENTURES-PTE-LTD,6,2026-07-11
729,556,CHANDRA COSMETICS PTE. LTD.,Payments,Money-changing Licensee,65 62356514,4 TAMPINES CENTRAL 5 #04-26 TAMPINES MALL 529510,,https://eservices.mas.gov.sg/fid/institution/detail/1362-CHANDRA-COSMETICS-PTE-LTD,6,2026-07-11
730,557,CHANG HWA COMMERCIAL BANK LTD,Banking,Wholesale Bank,+65 65320820,1 FINLAYSON GREEN #08-00 049246,http://www.chb.com.tw,https://eservices.mas.gov.sg/fid/institution/detail/3303-CHANG-HWA-COMMERCIAL-BANK-LTD,6,2026-07-11
731,558,CHANGI MONEY CHANGER (S) PTE. LTD.,Payments,Money-changing Licensee,+65 62911450,11 COLLYER QUAY #02-08 THE ARCADE THE ARCADE 049317,,https://eservices.mas.gov.sg/fid/institution/detail/200493-CHANGI-MONEY-CHANGER-S-PTE-LTD,6,2026-07-11
732,559,CHANGI TRAVEL EXCHANGE PTE. LTD.,Payments,Money-changing Licensee,65 67011185,80 AIRPORT BOULEVARD #03-25 CHANGI AIRPORT TERMINAL 1 819642,,https://eservices.mas.gov.sg/fid/institution/detail/229530-CHANGI-TRAVEL-EXCHANGE-PTE-LTD,6,2026-07-11
733,560,CHARLES MONAT ASSOCIATES PTE. LTD.,Financial Advisory,Licensed Financial Adviser,+65 65129888,9 RAFFLES PLACE #57-02 REPUBLIC PLAZA 1 048619,http://www.monat.com,https://eservices.mas.gov.sg/fid/institution/detail/1350-CHARLES-MONAT-ASSOCIATES-PTE-LTD,6,2026-07-11
734,561,CHARLES SCHWAB SG PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68232250,8 MARINA VIEW #12-01 ASIA SQUARE TOWER 1 018960,http://www.schwab.com.sg,https://eservices.mas.gov.sg/fid/institution/detail/2151-CHARLES-SCHWAB-SG-PTE-LTD,6,2026-07-11
735,561,CHARLES SCHWAB SG PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 68232250,8 MARINA VIEW #12-01 ASIA SQUARE TOWER 1 018960,http://www.schwab.com.sg,https://eservices.mas.gov.sg/fid/institution/detail/2151-CHARLES-SCHWAB-SG-PTE-LTD,6,2026-07-11
736,562,CHARLIE CHAN CAPITAL PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 63650045,250 TANJONG PAGAR ROAD ST ANDREW'S CENTRE #03-03 088541,,https://eservices.mas.gov.sg/fid/institution/detail/1365-CHARLIE-CHAN-CAPITAL-PARTNERS-PTE-LTD,6,2026-07-11
737,562,CHARLIE CHAN CAPITAL PARTNERS PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 63650045,250 TANJONG PAGAR ROAD ST ANDREW'S CENTRE #03-03 088541,,https://eservices.mas.gov.sg/fid/institution/detail/1365-CHARLIE-CHAN-CAPITAL-PARTNERS-PTE-LTD,6,2026-07-11
738,563,CHARM PARTNER ASSET MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 60380324,160 ROBINSON ROAD #17-02 SINGAPORE BUSINESS FEDERATION CENTER 068914,http://N.A.,https://eservices.mas.gov.sg/fid/institution/detail/427318-CHARM-PARTNER-ASSET-MANAGEMENT-PTE-LTD,6,2026-07-11
739,564,CHARTERED ASSET MANAGEMENT PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 68358866,350 ORCHARD ROAD SHAW HOUSE #11-08 238868,http://www.cam.com.sg,https://eservices.mas.gov.sg/fid/institution/detail/800-CHARTERED-ASSET-MANAGEMENT-PTE-LTD,6,2026-07-11
740,564,CHARTERED ASSET MANAGEMENT PTE LTD,Financial Advisory,Exempt Financial Adviser,+65 68358866,350 ORCHARD ROAD SHAW HOUSE #11-08 238868,http://www.cam.com.sg,https://eservices.mas.gov.sg/fid/institution/detail/800-CHARTERED-ASSET-MANAGEMENT-PTE-LTD,6,2026-07-11
741,565,CHARTERED INVESTMENT MANAGERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 65572289,1 RAFFLES PLACE #21-02 ONE RAFFLES PLACE 048616,http://www.chartered.sg,https://eservices.mas.gov.sg/fid/institution/detail/2469-CHARTERED-INVESTMENT-MANAGERS-PTE-LTD,6,2026-07-11
742,565,CHARTERED INVESTMENT MANAGERS PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 65572289,1 RAFFLES PLACE #21-02 ONE RAFFLES PLACE 048616,http://www.chartered.sg,https://eservices.mas.gov.sg/fid/institution/detail/2469-CHARTERED-INVESTMENT-MANAGERS-PTE-LTD,6,2026-07-11
743,566,CHARTWELL ASSOCIATES PTE. LTD.,Financial Advisory,Licensed Financial Adviser,+65 62255707,48A CIRCULAR ROAD 049403,,https://eservices.mas.gov.sg/fid/institution/detail/1481-CHARTWELL-ASSOCIATES-PTE-LTD,6,2026-07-11
744,567,CHAUCER SINGAPORE PTE. LIMITED,Insurance,Lloyd's Asia Scheme,+65 6499 9330,"10, COLLYER QUAY #10-01 OCEAN FINANCIAL CENTRE 049315",http://www.lloyds.com,https://eservices.mas.gov.sg/fid/institution/detail/1711-CHAUCER-SINGAPORE-PTE-LIMITED,27,2026-07-11
745,568,CHCC CAPITAL (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 84208777,LEVEL 42 SIX BATTERY ROAD 6 BATTERY ROAD 049909,,https://eservices.mas.gov.sg/fid/institution/detail/413213-CHCC-CAPITAL-SINGAPORE-PTE-LTD,6,2026-07-11
746,568,CHCC CAPITAL (SINGAPORE) PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 84208777,LEVEL 42 SIX BATTERY ROAD 6 BATTERY ROAD 049909,,https://eservices.mas.gov.sg/fid/institution/detail/413213-CHCC-CAPITAL-SINGAPORE-PTE-LTD,6,2026-07-11
